Sl. No,Course Name,State,Name and Address of Medical College/Medical Institution,University Name,Management of College,Year of Inspection of College,Annual Intake (Seats),Status of MCI Recognition,Date of LOP
251,MBBS,Karnataka,"Vijaynagar Institute of Medical Sciences, Bellary","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,1961,200,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150 when degree granted on or after January,2018. Fifty (50) MBBS seats have been increased u/s 26(1)(a)(b) & 28(1)(2) and section 61(2) of the NMC Act, 2019 during Academic Year 2022 - 2023. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",N/A
252,MBBS,Karnataka,"Vydehi Institute Of Medical Sciences & Research Centre, Bangalore","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,2002,250,"Recognized for 150 seats. Recognized for increase of seats from 150 to 250 when degree granted on after January,2018. Continuation of Recognition for 250 seats granted for five (05) years when degree granted upto January, 2028.",N/A
253,MBBS,Karnataka,"Yadgiri Institute of Medical Sciences, Yadgiri","Rajiv Gandhi University of Health Sciences, Karnataka",Govt.,2022,150,"Permitted for 150 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for the Academic Year 2023 - 2024.",18-08-2022
254,MBBS,Karnataka,"Yenepoya Medical College, Mangalore",Yenepoya University (Deemed Manglore),Trust,1999,250,"Recognized for 100 seats. Recognized for increase of seats from 100 to 150. Permitted for increase of seats 150 to 250 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 during Academic Year 2023 -2024. COR granted for one(01) year for 2022-23 only.",N/A
255,MBBS,Kerala,"Al-Azhar Medical College and Super Speciality Hospital, Thodupuzha","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2014,150,"Recognized when degree granted on or after February,2019.",02-07-2014
256,MBBS,Kerala,"Amala Institute of Medical Sciences, Thrissur","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,100,Recognized (Previously Affiliated to Calicut University). Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,N/A
257,MBBS,Kerala,"Amrita School of Medicine, Elamkara, Kochi","Amrita Vishwa Vidyapeetham University (Deemed), Coimbatore",Trust,2000,150,"Recognized when degree granted on or after Mar 07. Continuation of recognition granted to 100 seats when degree awarded on or after December, 2018, Increase of 100 to 150 seats for 2021-22, Recognized when degree granted on or after Mar 07. Continuation of recognition granted to 100 seats when degree awarded on or after December, 2018, Increase of 100 to 150 seats for 2021-22. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted for 2nd renewal 3rd batch for the Academic Year 2023 -2024.",18-11-2021
258,MBBS,Kerala,"Azeezia Instt of Medical Science,Meeyannoor,Kollam","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2008,100,"Recognized  when degree granted on or after May, 2013",N/A
259,MBBS,Kerala,"Believers Church Medical College Hospital, Thiruvalla, Kerala","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2016,100,Recognized Permission granted for admission of 100 students. Renewal of permission granted for admission of 100 students u/s 10(A) for 2020-21 & 2021-'22. Recognition for 100 seats for the award of degree granted only for 2016-17 batch for academic year 2021-22. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,16-06-2016
260,MBBS,Kerala,"Dr. Moopen s Medical College, Wayanad, Kerala","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2013,150,"Recognized when degree granted on or after February,2018.",15-07-2013
261,MBBS,Kerala,"Dr. Somervel Memorial CSI Hospital & Medical College, Karakonam, Thiruvananthapuram","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2001,150,"Recognized for 100 seats when degree granted on or after Apr. 2008. (Previously under Kerala Univ.,Kerala). Not granted permission for increase of seats from 100 to 150 u/s 10(A) for 2019-20, Permission for increase of seats from 100 to 150 u/s 10(A) for 2020-21 & 2021-'22. Continuation of recognition for 150 seats granted for 2016-'17 batch in academic year 2021-'22.",13-11-2002
262,MBBS,Kerala,"Government Medical College, Ernakulam","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2000,110,Recognized for 100 seats. (Previously under Kochi Univ. of Sciences & Technology). Permitted for increase of seats from 100 to 110 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
263,MBBS,Kerala,"Government Medical College, Idukki.","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permission for 2nd batch (1st renewal) has been given during A/Y 2023-2024.",23-08-2022
264,MBBS,Kerala,"Government Medical College (Institute of Integrated Medical Sciences), Yakkara, Palakkad","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2014,100,Recognized  when degree granted on or after February 2019.,15-07-2014
265,MBBS,Kerala,"Government Medical College, Konni","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2022,100,"Permitted for 100 seats u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and 2nd batch for 100 MBBS seats for the Academic Year 2023 - 2024.",11-11-2022
266,MBBS,Kerala,"Government Medical College, Kottayam","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1960,175,"Recognized for 150 seats. (Previously under Mahatma Gandhi Univ.,Kerala). Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20. continuation of recognition granted for 150 seats when degree awarded on or after 2017. Renewal of permission granted for admission of 175 seats (including EWS quota) from 2020-21.",N/A
267,MBBS,Kerala,"Government Medical College, Kozhikode, Calicut","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1957,250,"Recognized Recognized for 200 seats. Recognised for increase of seats from 200 to 250 when degree granted on or after April,2016.",N/A
268,MBBS,Kerala,"Government Medical College, Manjeri, Malapuram Dist.","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2013,110,"Recognized for 100 seats when degree granted on or after February,2018. Permitted for increase of seats from 100 to 110 under EWS quota (103rd constitution amendment) from 2019-20.",10-07-2013
269,MBBS,Kerala,"Government Medical College, Parippally, Kollam","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,2017,110,Permitted for 100 seats for renewal of permission u/s 10(A) for 2020-21. Permitted for increase of seats from 100 to 110 under EWS quota (103rd constitution amendment) for 2019-20. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.,31-05-2017
270,MBBS,Kerala,"Government Medical College, Thrissur","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1981,175,Recognized for 150 seats when degree granted on or after October 2012. Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
271,MBBS,Kerala,"Govt. Medical College,Pariyaram, Kannur (Prev. Known as Academy of Medical Sciences)","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1995,100,Recognized (Previously Affiliated to Calicut University),N/A
272,MBBS,Kerala,"Jubilee Mission Medical College & Research Institute, Thrissur","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,100,"Recognized  (Previously under Calicut Univ.,Kerala). Permitted for continuation of recognition for annual intake of 100 MBBS seats when degree granted upto 2021-22. Granted renewal of permission for annual intake of 100 MBBS seats for the year 2021-22. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
273,MBBS,Kerala,"Kannur Medical College, Kannur","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2006,150,"Recognized for 100 seats when degree granted on or after July,2011.(Previously under Kannur Univ.). Recognized for increase of seats from 100 to 150 when degree granted on or after April, 2017.",N/A
274,MBBS,Kerala,"Karuna Medical College, Palakkad",Calicut University,Trust,2006,100,Recognized  when degree granted on or after october 2011.,N/A
275,MBBS,Kerala,"KMCT Medical College,Kozhikode, Calicut",Calicut University,Trust,2008,150,"Recognized for 100 seats when degree granted on or after Aug 2013. Permitted for renewal with increase of seats from 100 to 150 u/s 10(A) for 2020-21. Recognition continued for 100 seats when degree granted on or after 2015-2016 under Kerala university of health sciences, Thrissur (previously Calicut university). Batch recognition of 150 seats for 2016 - 17 batch granted when degree awarded in 2021- 22. Renewal of permission for admitting 150 students granted for 2021-22. Permission for increase from150 to 250 MBBS seats have been given during A/Y 2023-2024 but same has been withdrawn due to non availability of COA. Recognized for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",27-07-2008
276,MBBS,Kerala,"Malabar Medical College, Kozhikode,Calicut","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2010,200,"Recognized for 150 MBBS seats annually upto May, 2027. Permitted for increase of seats i.e. from 150 to 200 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2022-23. Permitted (1st renewal) and second batch for the academic year 2023-2024.",12-07-2010
277,MBBS,Kerala,"Malankara Orthodox Syrian Church Medical College, Kolenchery","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2001,100,"Recognized for 100 MBBS seats annually upto May, 2027.",28-10-2002
278,MBBS,Kerala,"Medical College, Thiruvananthapuram","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1951,250,Recognized (Previously under Kerala Univ.)for 200 seats. (Previously under Kerala Univ.). Permitted for increase of seats from 200 to 250 under EWS quota (103rd constitution amendment) for 2019-20.,N/A
279,MBBS,Kerala,"M E S Medical College , Perintalmanna Malappuram Distt.Kerala","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,150,"Recognized for 100 seats. Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21(Previously under Calicut Univ.,Kerala). Permitted for Renewal of 100- 150 seats for the academic year 2022-23. Permitted for 3rd renewal 4th batch for the Academic Year 2023 -2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
280,MBBS,Kerala,"Mount Zion Medical College, Chayalode, Ezhamkulam Adoor, Pathanamthitta","Kerala University of Health Sciences, Thrissur, Kerala",Society,2014,150,"Recognized Ãƒâ€šÃ‚Â when degree granted on or after February,2019. Approved permission to increase from 100 to 150 MBBS seats during A/Y 2023-2024.",02-07-2014
281,MBBS,Kerala,"P K Das Institute of Medical Sciences, Palakkad, Kerala","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2014,200,"Recognized when degree granted on or after February,2019. 50 MBBS seats have been increased u/s 26(1) (a) (b), 28(1) (2) and 61(2) of NMC Act 2019 during A/Y 2023-2024.",02-07-2014
282,MBBS,Kerala,"Pushpagiri Institute Of Medical Sciences and Research Centre, Tiruvalla","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,100,"Recognized  (Previously under Mahatma Gandhi Univ., Kerala). Recognized for award of degree when granted on or after January, 2008 to 100 seats. Continuation of recognition granted to 100 seats when degree awarded on or after may, 2008, December, 2015 and 2016-2017. Renewal of permission granted for admission of 100 seats for 2021-2022. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",11-10-2002
283,MBBS,Kerala,"Sree Gokulam Medical College Trust & Research Foundation, Trivandrum","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2005,150,"Recognized  for 50 seats.(Previously under Kerala Univ.) Recognised for increase of seats from 50 to 150 when degree granted on or after April, 2016. recognized for the annual intake of 150 MBBS seats for the batched admitted upto academic year 2016-17, when degree granted in 2021-22.Granted renewal of permission for annual intake of 150 MBBS seats for the year 2021-22. Continuation of Recognition of 150 MBBS seats granted for five (05) years when degree awarded upto July, 2027.",N/A
284,MBBS,Kerala,"Sree Narayana Instt. of Medical Sciences, Chalakka,Ernakulam","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2009,150,"Recognized  when degree granted on or after September, 2014, Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22, Recognized when degree granted on or after September, 2014, Permitted for increase of seats 100 to 150 u/s 26(1)(a)(b) & 28(1)(2) of the NMC Act, 2019 for 2021-22. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (2nd renewal) and 3rd batch for the Academic Year 2023 - 2024.",N/A
285,MBBS,Kerala,"Sree Uthradom Thiurnal Academy of Medical Sciences,Trivandrum","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2006,150,"Recognized when degree granted on or after August, 2011 (Previously under Kerala Univ.). Permission to increase from 100 to 150 have been given during A/Y 2023-2024. Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
286,MBBS,Kerala,"T D Medical College, Alleppey (Allappuzha)","Kerala University of Health Sciences, Thrissur, Kerala",Govt.,1963,175,"Recognized for 100. Recognised for increase of seats from 100 to 150 when degree granted on or after August 2012.(Previously under Kerala Univ.,Kerala). Permitted for increase of seats from 150 to 175 under EWS quota (103rd constitution amendment) for 2019-20. continuation of recognition granted for 150 seats when degree awarded on or after 2016-2017. continuation of permission granted for admission of 175 seats (including EWS quota under 103rd constitution amendment for 2021-22). Continuation of Recognition granted for one (01) year for 2022-23 only. Permitted for admission for 2023-24.",N/A
287,MBBS,Kerala,"Travancore Medical College, Kollam","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2009,150,"Recognized for 100 seats when degree granted on or after May,2014. Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21, Recognized for 100 seats when degree granted on or after May,2014. Permitted for increase of seats from 100 to 150 u/s 10(A) for 2020-21. Permitted for Renewal of 100-150 seats for the academic year 2022-23. Permitted (3rd renewal) and 4th batch for the Academic Year 2023- 2024. Continuation of Recognition of100 MBBS seats granted for five (05) years when degree granted upto January, 2028.",N/A
288,MBBS,Madhya Pradesh,"All India Institute of Medical Sciences, Bhopal","Statutory Autonomous, AIIMS(Bhopal)",Govt.,2012,125,"Recognized vide letter dated 18.09.2017 from MOH&FW,GOI.",N/A
